"DFU","Period","Demand","Opening.Inventories","Supply.Plan","Min.Stocks.Coverage","Max.Stocks.Coverage"
"Item 000011",2022-09-11,361,0,0,4,8
"Item 000012",2022-09-11,140,0,0,4,12
"Item 000013",2022-09-11,1074,0,0,6,10
"Item 000014",2022-09-11,86,0,0,6,10
"Item 000015",2022-09-11,141,0,0,6,12
"Item 000016",2022-09-11,1896,0,0,6,10
"Item 000017",2022-09-11,53,0,0,4,12
"Item 000018",2022-09-11,477,0,0,6,8
"Item 000019",2022-09-11,21,0,0,4,26
"Item 000020",2022-09-11,1483,0,0,6,10
"Item 000021",2022-09-11,322,0,0,4,12
"Item 000022",2022-09-11,31,0,0,6,12
"Item 000023",2022-09-11,150,0,0,6,26
"Item 000024",2022-09-11,78,0,0,6,26
"Item 000025",2022-09-11,25,0,0,4,12
"Item 000026",2022-09-11,66,0,0,4,8
"Item 000027",2022-09-11,342,0,0,4,8
"Item 000028",2022-09-11,2710,0,0,6,10
"Item 000029",2022-09-11,644,0,0,4,12
"Item 000030",2022-09-11,996,0,0,4,12
"Item 000031",2022-09-11,500,0,0,6,8
"Item 000032",2022-09-11,522,0,0,6,8
"Item 000033",2022-09-11,955,0,0,6,8
"Item 000034",2022-09-11,502,0,0,6,8
"Item 000035",2022-09-11,589,0,0,6,8
"Item 000036",2022-09-11,737,0,0,6,8
"Item 000037",2022-09-11,829,0,0,6,8
"Item 000038",2022-09-11,800,0,0,6,8
"Item 000039",2022-09-11,650,0,0,6,8
"Item 000040",2022-09-11,865,0,0,6,8
"Item 000041",2022-09-11,540,0,0,6,8
"Item 000042",2022-09-11,969,0,0,6,8
"Item 000043",2022-09-11,996,0,0,6,8
"Item 000044",2022-09-11,539,0,0,6,8
"Item 000045",2022-09-11,564,0,0,6,8
"Item 000046",2022-09-11,528,0,0,6,8
"Item 000047",2022-09-11,576,0,0,6,8
"Item 000048",2022-09-11,917,0,0,6,8
"Item 000049",2022-09-11,751,0,0,6,8
"Item 000050",2022-09-11,829,0,0,6,8
"Item 000001",2022-09-18,349,0,0,4,8
"Item 000002",2022-09-18,2427,0,0,4,6
"Item 000003",2022-09-18,42,0,0,4,12
"Item 000004",2022-09-18,1042,0,0,6,6
"Item 000005",2022-09-18,69,0,0,4,12
"Item 000006",2022-09-18,1630,0,0,6,6
"Item 000007",2022-09-18,460,0,0,4,8
"Item 000008",2022-09-18,4191,0,0,6,10
"Item 000009",2022-09-18,90,0,0,4,12
"Item 000010",2022-09-18,151,0,0,4,12
"Item 000011",2022-09-18,361,0,0,4,8
"Item 000012",2022-09-18,140,0,0,4,12
"Item 000013",2022-09-18,1074,0,0,6,10
"Item 000014",2022-09-18,86,0,0,6,10
"Item 000015",2022-09-18,141,0,0,6,12
"Item 000016",2022-09-18,1896,0,11814,6,10
"Item 000017",2022-09-18,53,0,0,4,12
"Item 000018",2022-09-18,477,0,0,6,8
"Item 000019",2022-09-18,21,0,0,4,26
"Item 000020",2022-09-18,1483,0,8711,6,10
"Item 000021",2022-09-18,322,0,0,4,12
"Item 000022",2022-09-18,31,0,60,6,12
"Item 000023",2022-09-18,150,0,336,6,26
"Item 000024",2022-09-18,78,0,504,6,26
"Item 000025",2022-09-18,25,0,231,4,12
"Item 000026",2022-09-18,75,0,0,4,8
"Item 000027",2022-09-18,342,0,0,4,8
"Item 000028",2022-09-18,2710,0,0,6,10
"Item 000029",2022-09-18,763,0,0,4,12
"Item 000030",2022-09-18,874,0,0,4,12
"Item 000031",2022-09-18,689,0,0,6,8
"Item 000032",2022-09-18,506,0,0,6,8
"Item 000033",2022-09-18,992,0,0,6,8
"Item 000034",2022-09-18,866,0,0,6,8
"Item 000035",2022-09-18,703,0,0,6,8
"Item 000036",2022-09-18,912,0,0,6,8
"Item 000037",2022-09-18,626,0,0,6,8
"Item 000038",2022-09-18,561,0,0,6,8
"Item 000039",2022-09-18,584,0,0,6,8
"Item 000040",2022-09-18,648,0,0,6,8
"Item 000041",2022-09-18,724,0,0,6,8
"Item 000042",2022-09-18,895,0,0,6,8
"Item 000043",2022-09-18,675,0,0,6,8
"Item 000044",2022-09-18,586,0,0,6,8
"Item 000045",2022-09-18,934,0,0,6,8
"Item 000046",2022-09-18,977,0,0,6,8
"Item 000047",2022-09-18,855,0,0,6,8
"Item 000048",2022-09-18,935,0,0,6,8
"Item 000049",2022-09-18,982,0,0,6,8
"Item 000050",2022-09-18,695,0,0,6,8
"Item 000001",2022-09-25,200,0,0,4,8
"Item 000002",2022-09-25,1502,0,0,4,6
"Item 000003",2022-09-25,50,0,0,4,12
"Item 000004",2022-09-25,785,0,0,6,6
"Item 000005",2022-09-25,49,0,0,4,12
"Item 000006",2022-09-25,1176,0,0,6,6
"Item 000007",2022-09-25,309,0,0,4,8
"Item 000008",2022-09-25,3230,0,0,6,10
"Item 000009",2022-09-25,65,0,0,4,12
"Item 000010",2022-09-25,103,0,1920,4,12
"Item 000011",2022-09-25,272,0,0,4,8
"Item 000012",2022-09-25,98,0,0,4,12
"Item 000013",2022-09-25,834,0,0,6,10
"Item 000014",2022-09-25,62,0,0,6,10
"Item 000015",2022-09-25,106,0,0,6,12
"Item 000016",2022-09-25,1435,0,0,6,10
"Item 000017",2022-09-25,47,0,0,4,12
"Item 000018",2022-09-25,349,0,4166,6,8
"Item 000019",2022-09-25,15,0,0,4,26
"Item 000020",2022-09-25,1004,0,0,6,10
"Item 000021",2022-09-25,223,0,0,4,12
"Item 000022",2022-09-25,24,0,60,6,12
"Item 000023",2022-09-25,105,0,0,6,26
"Item 000024",2022-09-25,67,0,0,6,26
"Item 000025",2022-09-25,17,0,0,4,12
"Item 000026",2022-09-25,83,0,0,4,8
"Item 000027",2022-09-25,62,0,0,4,8
"Item 000028",2022-09-25,275,0,0,6,10
"Item 000029",2022-09-25,762,0,0,4,12
"Item 000030",2022-09-25,615,0,480,4,12
"Item 000031",2022-09-25,909,0,0,6,8
"Item 000032",2022-09-25,962,0,0,6,8
"Item 000033",2022-09-25,609,0,0,6,8
"Item 000034",2022-09-25,813,0,0,6,8
"Item 000035",2022-09-25,775,0,0,6,8
"Item 000036",2022-09-25,905,0,0,6,8
"Item 000037",2022-09-25,582,0,0,6,8
"Item 000038",2022-09-25,778,0,0,6,8
"Item 000039",2022-09-25,872,0,0,6,8
"Item 000040",2022-09-25,852,0,0,6,8
"Item 000041",2022-09-25,596,0,0,6,8
"Item 000042",2022-09-25,514,0,0,6,8
"Item 000043",2022-09-25,647,0,0,6,8
"Item 000044",2022-09-25,926,0,0,6,8
"Item 000045",2022-09-25,841,0,0,6,8
"Item 000046",2022-09-25,791,0,0,6,8
"Item 000047",2022-09-25,533,0,0,6,8
"Item 000048",2022-09-25,520,0,0,6,8
"Item 000049",2022-09-25,761,0,0,6,8
"Item 000050",2022-09-25,859,0,0,6,8
"Item 000001",2022-10-02,0,0,0,4,8
"Item 000002",2022-10-02,807,0,1944,4,6
"Item 000003",2022-10-02,178,0,0,4,12
"Item 000004",2022-10-02,1329,0,0,6,6
"Item 000005",2022-10-02,69,0,0,4,12
"Item 000006",2022-10-02,1711,0,4104,6,6
"Item 000007",2022-10-02,325,0,107,4,8
"Item 000008",2022-10-02,5841,0,16104,6,10
"Item 000009",2022-10-02,98,0,0,4,12
"Item 000010",2022-10-02,117,0,1920,4,12
"Item 000011",2022-10-02,463,0,4032,4,8
"Item 000012",2022-10-02,128,0,0,4,12
"Item 000013",2022-10-02,1539,0,5005,6,10
"Item 000014",2022-10-02,86,0,260,6,10
"Item 000015",2022-10-02,176,0,0,6,12
"Item 000016",2022-10-02,2459,0,0,6,10
"Item 000017",2022-10-02,115,0,0,4,12
"Item 000018",2022-10-02,536,0,0,6,8
"Item 000019",2022-10-02,21,0,0,4,26
"Item 000020",2022-10-02,1093,0,0,6,10
"Item 000021",2022-10-02,273,0,0,4,12
"Item 000022",2022-10-02,48,0,0,6,12
"Item 000023",2022-10-02,137,0,0,6,26
"Item 000024",2022-10-02,159,0,0,6,26
"Item 000025",2022-10-02,20,0,0,4,12
"Item 000026",2022-10-02,95,0,0,4,8
"Item 000027",2022-10-02,428,0,5130,4,8
"Item 000028",2022-10-02,1921,0,7812,6,10
"Item 000029",2022-10-02,958,0,0,4,12
"Item 000030",2022-10-02,966,0,0,4,12
"Item 000031",2022-10-02,998,0,0,6,8
"Item 000032",2022-10-02,740,0,0,6,8
"Item 000033",2022-10-02,869,0,0,6,8
"Item 000034",2022-10-02,779,0,0,6,8
"Item 000035",2022-10-02,514,0,0,6,8
"Item 000036",2022-10-02,977,0,0,6,8
"Item 000037",2022-10-02,608,0,0,6,8
"Item 000038",2022-10-02,645,0,0,6,8
"Item 000039",2022-10-02,724,0,0,6,8
"Item 000040",2022-10-02,904,0,0,6,8
"Item 000041",2022-10-02,695,0,0,6,8
"Item 000042",2022-10-02,729,0,0,6,8
"Item 000043",2022-10-02,994,0,0,6,8
"Item 000044",2022-10-02,614,0,0,6,8
"Item 000045",2022-10-02,817,0,0,6,8
"Item 000046",2022-10-02,982,0,0,6,8
"Item 000047",2022-10-02,655,0,0,6,8
"Item 000048",2022-10-02,948,0,0,6,8
"Item 000049",2022-10-02,680,0,0,6,8
"Item 000050",2022-10-02,948,0,0,6,8
"Item 000001",2022-10-09,0,0,11616,4,8
"Item 000002",2022-10-09,807,0,647,4,6
"Item 000003",2022-10-09,178,0,0,4,12
"Item 000004",2022-10-09,1329,0,0,6,6
"Item 000005",2022-10-09,69,0,0,4,12
"Item 000006",2022-10-09,1711,0,0,6,6
"Item 000007",2022-10-09,325,0,540,4,8
"Item 000008",2022-10-09,5841,0,9504,6,10
"Item 000009",2022-10-09,98,0,527,4,12
"Item 000010",2022-10-09,117,0,0,4,12
"Item 000011",2022-10-09,463,0,0,4,8
"Item 000012",2022-10-09,128,0,0,4,12
"Item 000013",2022-10-09,1539,0,0,6,10
"Item 000014",2022-10-09,86,0,0,6,10
"Item 000015",2022-10-09,176,0,70,6,12
"Item 000016",2022-10-09,2459,0,0,6,10
"Item 000017",2022-10-09,115,0,0,4,12
"Item 000018",2022-10-09,536,0,0,6,8
"Item 000019",2022-10-09,21,0,0,4,26
"Item 000020",2022-10-09,1093,0,0,6,10
"Item 000021",2022-10-09,273,0,0,4,12
"Item 000022",2022-10-09,48,0,0,6,12
"Item 000023",2022-10-09,137,0,0,6,26
"Item 000024",2022-10-09,159,0,0,6,26
"Item 000025",2022-10-09,20,0,0,4,12
"Item 000026",2022-10-09,60,0,2376,4,8
"Item 000027",2022-10-09,428,0,0,4,8
"Item 000028",2022-10-09,1921,0,7560,6,10
"Item 000029",2022-10-09,997,0,0,4,12
"Item 000030",2022-10-09,770,0,0,4,12
"Item 000031",2022-10-09,600,0,0,6,8
"Item 000032",2022-10-09,535,0,0,6,8
"Item 000033",2022-10-09,974,0,0,6,8
"Item 000034",2022-10-09,667,0,0,6,8
"Item 000035",2022-10-09,889,0,0,6,8
"Item 000036",2022-10-09,895,0,0,6,8
"Item 000037",2022-10-09,705,0,0,6,8
"Item 000038",2022-10-09,616,0,0,6,8
"Item 000039",2022-10-09,615,0,0,6,8
"Item 000040",2022-10-09,882,0,0,6,8
"Item 000041",2022-10-09,843,0,0,6,8
"Item 000042",2022-10-09,918,0,0,6,8
"Item 000043",2022-10-09,889,0,0,6,8
"Item 000044",2022-10-09,815,0,0,6,8
"Item 000045",2022-10-09,643,0,0,6,8
"Item 000046",2022-10-09,954,0,0,6,8
"Item 000047",2022-10-09,909,0,0,6,8
"Item 000048",2022-10-09,927,0,0,6,8
"Item 000049",2022-10-09,860,0,0,6,8
"Item 000050",2022-10-09,604,0,0,6,8
"Item 000001",2022-10-16,0,0,0,4,8
"Item 000002",2022-10-16,807,0,0,4,6
"Item 000003",2022-10-16,178,0,0,4,12
"Item 000004",2022-10-16,1329,0,0,6,6
"Item 000005",2022-10-16,69,0,0,4,12
"Item 000006",2022-10-16,1711,0,0,6,6
"Item 000007",2022-10-16,325,0,0,4,8
"Item 000008",2022-10-16,5841,0,0,6,10
"Item 000009",2022-10-16,51,0,0,4,12
"Item 000010",2022-10-16,117,0,0,4,12
"Item 000011",2022-10-16,463,0,0,4,8
"Item 000012",2022-10-16,128,0,0,4,12
"Item 000013",2022-10-16,1539,0,0,6,10
"Item 000014",2022-10-16,86,0,0,6,10
"Item 000015",2022-10-16,176,0,0,6,12
"Item 000016",2022-10-16,2459,0,672,6,10
"Item 000017",2022-10-16,115,0,0,4,12
"Item 000018",2022-10-16,536,0,0,6,8
"Item 000019",2022-10-16,21,0,0,4,26
"Item 000020",2022-10-16,1093,0,0,6,10
"Item 000021",2022-10-16,273,0,0,4,12
"Item 000022",2022-10-16,48,0,0,6,12
"Item 000023",2022-10-16,137,0,0,6,26
"Item 000024",2022-10-16,159,0,0,6,26
"Item 000025",2022-10-16,20,0,0,4,12
"Item 000026",2022-10-16,51,0,0,4,8
"Item 000027",2022-10-16,428,0,0,4,8
"Item 000028",2022-10-16,1921,0,0,6,10
"Item 000029",2022-10-16,764,0,0,4,12
"Item 000030",2022-10-16,966,0,0,4,12
"Item 000031",2022-10-16,633,0,0,6,8
"Item 000032",2022-10-16,604,0,0,6,8
"Item 000033",2022-10-16,700,0,0,6,8
"Item 000034",2022-10-16,661,0,0,6,8
"Item 000035",2022-10-16,504,0,0,6,8
"Item 000036",2022-10-16,968,0,0,6,8
"Item 000037",2022-10-16,859,0,0,6,8
"Item 000038",2022-10-16,697,0,0,6,8
"Item 000039",2022-10-16,928,0,0,6,8
"Item 000040",2022-10-16,568,0,0,6,8
"Item 000041",2022-10-16,728,0,0,6,8
"Item 000042",2022-10-16,919,0,0,6,8
"Item 000043",2022-10-16,596,0,0,6,8
"Item 000044",2022-10-16,984,0,0,6,8
"Item 000045",2022-10-16,696,0,0,6,8
"Item 000046",2022-10-16,726,0,0,6,8
"Item 000047",2022-10-16,622,0,0,6,8
"Item 000048",2022-10-16,934,0,0,6,8
"Item 000049",2022-10-16,829,0,0,6,8
"Item 000050",2022-10-16,586,0,0,6,8
"Item 000001",2022-10-23,0,0,0,4,8
"Item 000002",2022-10-23,692,0,0,4,6
"Item 000003",2022-10-23,152,0,0,4,12
"Item 000004",2022-10-23,1139,0,0,6,6
"Item 000005",2022-10-23,59,0,0,4,12
"Item 000006",2022-10-23,1466,0,0,6,6
"Item 000007",2022-10-23,278,0,0,4,8
"Item 000008",2022-10-23,5007,0,0,6,10
"Item 000009",2022-10-23,82,0,0,4,12
"Item 000010",2022-10-23,100,0,0,4,12
"Item 000011",2022-10-23,397,0,0,4,8
"Item 000012",2022-10-23,110,0,0,4,12
"Item 000013",2022-10-23,1319,0,0,6,10
"Item 000014",2022-10-23,74,0,0,6,10
"Item 000015",2022-10-23,151,0,0,6,12
"Item 000016",2022-10-23,2108,0,3024,6,10
"Item 000017",2022-10-23,99,0,0,4,12
"Item 000018",2022-10-23,460,0,0,6,8
"Item 000019",2022-10-23,18,0,0,4,26
"Item 000020",2022-10-23,937,0,0,6,10
"Item 000021",2022-10-23,234,0,0,4,12
"Item 000022",2022-10-23,41,0,0,6,12
"Item 000023",2022-10-23,118,0,0,6,26
"Item 000024",2022-10-23,136,0,0,6,26
"Item 000025",2022-10-23,17,0,0,4,12
"Item 000026",2022-10-23,79,0,0,4,8
"Item 000027",2022-10-23,367,0,0,4,8
"Item 000028",2022-10-23,1647,0,0,6,10
"Item 000029",2022-10-23,527,0,0,4,12
"Item 000030",2022-10-23,745,0,0,4,12
"Item 000031",2022-10-23,598,0,0,6,8
"Item 000032",2022-10-23,988,0,0,6,8
"Item 000033",2022-10-23,741,0,0,6,8
"Item 000034",2022-10-23,646,0,0,6,8
"Item 000035",2022-10-23,654,0,0,6,8
"Item 000036",2022-10-23,773,0,0,6,8
"Item 000037",2022-10-23,820,0,0,6,8
"Item 000038",2022-10-23,830,0,0,6,8
"Item 000039",2022-10-23,568,0,0,6,8
"Item 000040",2022-10-23,538,0,0,6,8
"Item 000041",2022-10-23,793,0,0,6,8
"Item 000042",2022-10-23,511,0,0,6,8
"Item 000043",2022-10-23,969,0,0,6,8
"Item 000044",2022-10-23,739,0,0,6,8
"Item 000045",2022-10-23,717,0,0,6,8
"Item 000046",2022-10-23,611,0,0,6,8
"Item 000047",2022-10-23,694,0,0,6,8
"Item 000048",2022-10-23,753,0,0,6,8
"Item 000049",2022-10-23,840,0,0,6,8
"Item 000050",2022-10-23,576,0,0,6,8
"Item 000001",2022-10-30,367,0,0,4,8
"Item 000002",2022-10-30,510,0,0,4,6
"Item 000003",2022-10-30,24,0,0,4,12
"Item 000004",2022-10-30,1452,0,0,6,6
"Item 000005",2022-10-30,49,0,0,4,12
"Item 000006",2022-10-30,1222,0,0,6,6
"Item 000007",2022-10-30,78,0,0,4,8
"Item 000008",2022-10-30,2452,0,0,6,10
"Item 000009",2022-10-30,48,0,0,4,12
"Item 000010",2022-10-30,70,0,0,4,12
"Item 000011",2022-10-30,203,0,0,4,8
"Item 000012",2022-10-30,74,0,0,4,12
"Item 000013",2022-10-30,1521,0,0,6,10
"Item 000014",2022-10-30,62,0,260,6,10
"Item 000015",2022-10-30,51,0,0,6,12
"Item 000016",2022-10-30,1461,0,0,6,10
"Item 000017",2022-10-30,116,0,0,4,12
"Item 000018",2022-10-30,277,0,0,6,8
"Item 000019",2022-10-30,50,0,0,4,26
"Item 000020",2022-10-30,650,0,0,6,10
"Item 000021",2022-10-30,195,0,0,4,12
"Item 000022",2022-10-30,50,0,0,6,12
"Item 000023",2022-10-30,77,0,1596,6,26
"Item 000024",2022-10-30,46,0,0,6,26
"Item 000025",2022-10-30,16,0,0,4,12
"Item 000026",2022-10-30,97,0,133,4,8
"Item 000027",2022-10-30,428,0,0,4,8
"Item 000028",2022-10-30,2026,0,7812,6,10
"Item 000029",2022-10-30,557,0,0,4,12
"Item 000030",2022-10-30,642,0,0,4,12
"Item 000031",2022-10-30,893,0,0,6,8
"Item 000032",2022-10-30,712,0,0,6,8
"Item 000033",2022-10-30,757,0,0,6,8
"Item 000034",2022-10-30,900,0,0,6,8
"Item 000035",2022-10-30,648,0,0,6,8
"Item 000036",2022-10-30,861,0,0,6,8
"Item 000037",2022-10-30,715,0,0,6,8
"Item 000038",2022-10-30,944,0,0,6,8
"Item 000039",2022-10-30,557,0,195,6,8
"Item 000040",2022-10-30,988,0,0,6,8
"Item 000041",2022-10-30,799,0,0,6,8
"Item 000042",2022-10-30,947,0,0,6,8
"Item 000043",2022-10-30,560,0,0,6,8
"Item 000044",2022-10-30,963,0,0,6,8
"Item 000045",2022-10-30,910,0,0,6,8
"Item 000046",2022-10-30,639,0,0,6,8
"Item 000047",2022-10-30,871,0,0,6,8
"Item 000048",2022-10-30,633,0,0,6,8
"Item 000049",2022-10-30,569,0,0,6,8
"Item 000050",2022-10-30,742,0,0,6,8
"Item 000001",2022-11-06,514,0,0,4,8
"Item 000002",2022-11-06,714,0,0,4,6
"Item 000003",2022-11-06,34,0,0,4,12
"Item 000004",2022-11-06,2032,0,0,6,6
"Item 000005",2022-11-06,69,0,0,4,12
"Item 000006",2022-11-06,1711,0,0,6,6
"Item 000007",2022-11-06,109,0,0,4,8
"Item 000008",2022-11-06,3432,0,0,6,10
"Item 000009",2022-11-06,66,0,0,4,12
"Item 000010",2022-11-06,97,0,0,4,12
"Item 000011",2022-11-06,284,0,0,4,8
"Item 000012",2022-11-06,104,0,0,4,12
"Item 000013",2022-11-06,2130,0,1001,6,10
"Item 000014",2022-11-06,86,0,0,6,10
"Item 000015",2022-11-06,71,0,0,6,12
"Item 000016",2022-11-06,2046,0,0,6,10
"Item 000017",2022-11-06,163,0,0,4,12
"Item 000018",2022-11-06,387,0,0,6,8
"Item 000019",2022-11-06,97,0,0,4,26
"Item 000020",2022-11-06,910,0,1089,6,10
"Item 000021",2022-11-06,273,0,2674,4,12
"Item 000022",2022-11-06,69,0,0,6,12
"Item 000023",2022-11-06,107,0,0,6,26
"Item 000024",2022-11-06,65,0,0,6,26
"Item 000025",2022-11-06,22,0,0,4,12
"Item 000026",2022-11-06,74,0,0,4,8
"Item 000027",2022-11-06,599,0,0,4,8
"Item 000028",2022-11-06,2836,0,0,6,10
"Item 000029",2022-11-06,754,0,0,4,12
"Item 000030",2022-11-06,653,0,0,4,12
"Item 000031",2022-11-06,618,0,0,6,8
"Item 000032",2022-11-06,872,0,0,6,8
"Item 000033",2022-11-06,578,0,0,6,8
"Item 000034",2022-11-06,704,0,0,6,8
"Item 000035",2022-11-06,637,0,0,6,8
"Item 000036",2022-11-06,572,0,0,6,8
"Item 000037",2022-11-06,594,0,0,6,8
"Item 000038",2022-11-06,787,0,0,6,8
"Item 000039",2022-11-06,502,0,0,6,8
"Item 000040",2022-11-06,679,0,0,6,8
"Item 000041",2022-11-06,542,0,0,6,8
"Item 000042",2022-11-06,793,0,0,6,8
"Item 000043",2022-11-06,811,0,0,6,8
"Item 000044",2022-11-06,552,0,0,6,8
"Item 000045",2022-11-06,753,0,0,6,8
"Item 000046",2022-11-06,764,0,0,6,8
"Item 000047",2022-11-06,568,0,0,6,8
"Item 000048",2022-11-06,873,0,0,6,8
"Item 000049",2022-11-06,738,0,0,6,8
"Item 000050",2022-11-06,880,0,0,6,8
"Item 000001",2022-11-13,514,0,0,4,8
"Item 000002",2022-11-13,714,0,0,4,6
"Item 000003",2022-11-13,34,0,0,4,12
"Item 000004",2022-11-13,2032,0,0,6,6
"Item 000005",2022-11-13,69,0,0,4,12
"Item 000006",2022-11-13,1711,0,0,6,6
"Item 000007",2022-11-13,109,0,0,4,8
"Item 000008",2022-11-13,3432,0,0,6,10
"Item 000009",2022-11-13,66,0,0,4,12
"Item 000010",2022-11-13,97,0,0,4,12
"Item 000011",2022-11-13,284,0,0,4,8
"Item 000012",2022-11-13,104,0,0,4,12
"Item 000013",2022-11-13,2130,0,4235,6,10
"Item 000014",2022-11-13,86,0,0,6,10
"Item 000015",2022-11-13,71,0,0,6,12
"Item 000016",2022-11-13,2046,0,0,6,10
"Item 000017",2022-11-13,163,0,0,4,12
"Item 000018",2022-11-13,387,0,0,6,8
"Item 000019",2022-11-13,72,0,244,4,26
"Item 000020",2022-11-13,910,0,791,6,10
"Item 000021",2022-11-13,273,0,0,4,12
"Item 000022",2022-11-13,69,0,0,6,12
"Item 000023",2022-11-13,107,0,0,6,26
"Item 000024",2022-11-13,65,0,0,6,26
"Item 000025",2022-11-13,22,0,0,4,12
"Item 000026",2022-11-13,62,0,0,4,8
"Item 000027",2022-11-13,599,0,0,4,8
"Item 000028",2022-11-13,2836,0,0,6,10
"Item 000029",2022-11-13,873,0,0,4,12
"Item 000030",2022-11-13,949,0,0,4,12
"Item 000031",2022-11-13,726,0,0,6,8
"Item 000032",2022-11-13,591,0,0,6,8
"Item 000033",2022-11-13,580,0,0,6,8
"Item 000034",2022-11-13,512,0,0,6,8
"Item 000035",2022-11-13,786,0,0,6,8
"Item 000036",2022-11-13,525,0,0,6,8
"Item 000037",2022-11-13,987,0,0,6,8
"Item 000038",2022-11-13,843,0,0,6,8
"Item 000039",2022-11-13,863,0,0,6,8
"Item 000040",2022-11-13,653,0,0,6,8
"Item 000041",2022-11-13,690,0,0,6,8
"Item 000042",2022-11-13,890,0,0,6,8
"Item 000043",2022-11-13,608,0,0,6,8
"Item 000044",2022-11-13,832,0,0,6,8
"Item 000045",2022-11-13,790,0,0,6,8
"Item 000046",2022-11-13,790,0,0,6,8
"Item 000047",2022-11-13,812,0,0,6,8
"Item 000048",2022-11-13,805,0,0,6,8
"Item 000049",2022-11-13,788,0,0,6,8
"Item 000050",2022-11-13,813,0,0,6,8
"Item 000001",2022-11-20,514,0,0,4,8
"Item 000002",2022-11-20,714,0,0,4,6
"Item 000003",2022-11-20,34,0,0,4,12
"Item 000004",2022-11-20,2032,0,6000,6,6
"Item 000005",2022-11-20,69,0,0,4,12
"Item 000006",2022-11-20,1711,0,0,6,6
"Item 000007",2022-11-20,109,0,107,4,8
"Item 000008",2022-11-20,3432,0,0,6,10
"Item 000009",2022-11-20,66,0,0,4,12
"Item 000010",2022-11-20,97,0,0,4,12
"Item 000011",2022-11-20,284,0,0,4,8
"Item 000012",2022-11-20,104,0,0,4,12
"Item 000013",2022-11-20,2130,0,0,6,10
"Item 000014",2022-11-20,86,0,0,6,10
"Item 000015",2022-11-20,71,0,0,6,12
"Item 000016",2022-11-20,2046,0,0,6,10
"Item 000017",2022-11-20,163,0,0,4,12
"Item 000018",2022-11-20,387,0,0,6,8
"Item 000019",2022-11-20,84,0,0,4,26
"Item 000020",2022-11-20,910,0,0,6,10
"Item 000021",2022-11-20,273,0,0,4,12
"Item 000022",2022-11-20,69,0,0,6,12
"Item 000023",2022-11-20,107,0,0,6,26
"Item 000024",2022-11-20,65,0,0,6,26
"Item 000025",2022-11-20,22,0,0,4,12
"Item 000026",2022-11-20,81,0,0,4,8
"Item 000027",2022-11-20,599,0,0,4,8
